metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,29700.000000000004,59400.00000000001,94500,243000.00000000003,2013
10140,24300,45900,72900,243000.00000000003,2013
10180,24300,45900,94500,243000.00000000003,2013
10220,24300,45900,72900,243000.00000000003,2013
10260,5400,5400,29700.000000000004,243000.00000000003,2013
10300,29700.000000000004,51300,94500,243000.00000000003,2013
10380,5400,18900,35100,243000.00000000003,2013
10420,29700.000000000004,59400.00000000001,94500,243000.00000000003,2013
10460,18900,40500,72900,243000.00000000003,2013
10500,18900,40500,72900,243000.00000000003,2013
10540,24300,51300,72900,243000.00000000003,2013
10580,35100,72900,121500.00000000001,243000.00000000003,2013
10620,24300,45900,72900,243000.00000000003,2013
10660,29700.000000000004,51300,94500,243000.00000000003,2013
10700,24300,40500,72900,243000.00000000003,2013
10740,24300,51300,94500,243000.00000000003,2013
10760,18900,40500,72900,243000.00000000003,2013
10780,18900,45900,72900,243000.00000000003,2013
10820,29700.000000000004,59400.00000000001,94500,243000.00000000003,2013
10860,18900,45900,94500,243000.00000000003,2013
10900,35100,59400.00000000001,94500,243000.00000000003,2013
10940,24300,45900,72900,243000.00000000003,2013
10980,18900,40500,72900,243000.00000000003,2013
11020,24300,45900,72900,243000.00000000003,2013
11060,24300,45900,72900,243000.00000000003,2013
11100,29700.000000000004,59400.00000000001,94500,243000.00000000003,2013
11140,18900,35100,72900,243000.00000000003,2013
11180,24300,51300,94500,243000.00000000003,2013
11220,24300,45900,94500,243000.00000000003,2013
11244,40500,94500,148500,243000.00000000003,2013
11260,45900,94500,121500.00000000001,243000.00000000003,2013
11380,35100,72900,121500.00000000001,243000.00000000003,2013
11420,29700.000000000004,51300,72900,243000.00000000003,2013
11460,29700.000000000004,72900,121500.00000000001,243000.00000000003,2013
11500,24300,45900,72900,243000.00000000003,2013
11540,35100,72900,94500,243000.00000000003,2013
11580,18900,35100,59400.00000000001,243000.00000000003,2013
11620,24300,45900,94500,243000.00000000003,2013
11640,5400,18900,35100,243000.00000000003,2013
11660,13500,35100,72900,243000.00000000003,2013
11680,24300,45900,72900,243000.00000000003,2013
11700,24300,45900,94500,243000.00000000003,2013
11740,29700.000000000004,51300,72900,243000.00000000003,2013
11780,18900,45900,72900,243000.00000000003,2013
11820,24300,51300,94500,243000.00000000003,2013
11860,18900,45900,72900,243000.00000000003,2013
