metdiv,inc_1,inc_2,inc_3,inc_4,Year
10100,23400,44200,75400,364000,1990
10140,23400,49400,80600,364000,1990
10180,23400,49400,80600,364000,1990
10220,15600,33800,70200,364000,1990
10300,33800,65000,96200,364000,1990
10420,33800,59800,96200,364000,1990
10460,28600,49400,75400,364000,1990
10500,23400,49400,85800,364000,1990
10540,28600,54600,80600,364000,1990
10580,39000,70200,109200,364000,1990
10620,28600,54600,80600,364000,1990
10660,28600,49400,75400,364000,1990
10700,23400,44200,75400,364000,1990
10740,28600,54600,91000,364000,1990
10760,23400,44200,75400,364000,1990
10780,15600,44200,75400,364000,1990
10820,23400,44200,75400,364000,1990
10860,15600,39000,65000,364000,1990
10900,39000,70200,109200,364000,1990
10940,28600,49400,85800,364000,1990
10980,23400,44200,75400,364000,1990
11020,23400,49400,75400,364000,1990
11060,23400,44200,75400,364000,1990
11100,28600,54600,85800,364000,1990
11140,15600,44200,75400,364000,1990
11180,28600,54600,91000,364000,1990
11220,28600,49400,80600,364000,1990
11244,54600,96200,140400,364000,1990
11260,49400,91000,140400,364000,1990
11380,28600,54600,85800,364000,1990
11420,33800,59800,91000,364000,1990
11460,39000,75400,119600,364000,1990
11500,23400,49400,75400,364000,1990
11540,39000,70200,101400,364000,1990
11580,23400,44200,70200,364000,1990
11620,15600,44200,75400,364000,1990
11660,15600,39000,65000,364000,1990
11680,28600,49400,85800,364000,1990
11700,28600,54600,85800,364000,1990
11740,28600,54600,85800,364000,1990
11780,23400,49400,80600,364000,1990
11820,23400,49400,85800,364000,1990
11860,23400,44200,70200,364000,1990
11900,15600,39000,70200,364000,1990
11940,15600,44200,75400,364000,1990
11980,23400,44200,75400,364000,1990
12020,23400,49400,85800,364000,1990
12060,39000,75400,119600,364000,1990
12100,39000,70200,109200,364000,1990
12120,15600,39000,65000,364000,1990
12140,39000,65000,91000,364000,1990
12180,28600,54600,91000,364000,1990
12220,15600,44200,85800,364000,1990
12260,28600,54600,96200,364000,1990
12300,33800,59800,91000,364000,1990
12380,28600,49400,80600,364000,1990
12420,28600,59800,96200,364000,1990
12460,15600,44200,70200,364000,1990
12540,28600,59800,96200,364000,1990
12580,39000,75400,119600,364000,1990
12620,28600,54600,85800,364000,1990
12660,28600,54600,85800,364000,1990
12680,23400,49400,80600,364000,1990
12700,33800,65000,109200,364000,1990
12740,33800,59800,96200,364000,1990
12780,33800,59800,101400,364000,1990
12820,15600,33800,70200,364000,1990
12860,33800,65000,96200,364000,1990
12900,15600,39000,70200,364000,1990
12940,23400,54600,91000,364000,1990
12980,28600,54600,91000,364000,1990
13020,28600,59800,96200,364000,1990
13060,23400,54600,91000,364000,1990
13100,23400,49400,75400,364000,1990
13140,23400,54600,91000,364000,1990
13180,33800,59800,91000,364000,1990
13220,15600,39000,70200,364000,1990
13260,28600,54600,85800,364000,1990
13300,15600,44200,70200,364000,1990
13340,28600,54600,85800,364000,1990
13380,33800,59800,96200,364000,1990
13420,15600,44200,70200,364000,1990
13460,33800,54600,85800,364000,1990
13500,15600,39000,65000,364000,1990
13540,28600,59800,96200,364000,1990
13620,28600,54600,85800,364000,1990
13660,23400,44200,75400,364000,1990
13700,23400,49400,80600,364000,1990
13720,15600,39000,70200,364000,1990
13740,28600,54600,85800,364000,1990
13780,33800,59800,96200,364000,1990
13820,23400,54600,91000,364000,1990
13900,28600,54600,91000,364000,1990
13940,28600,49400,80600,364000,1990
13980,23400,49400,80600,364000,1990
14010,33800,65000,101400,364000,1990
14020,23400,49400,85800,364000,1990
14100,28600,49400,80600,364000,1990
14140,15600,39000,70200,364000,1990
14180,15600,39000,65000,364000,1990
14220,15600,33800,65000,364000,1990
14260,33800,54600,91000,364000,1990
14300,15600,44200,75400,364000,1990
14340,28600,54600,85800,364000,1990
14380,15600,44200,75400,364000,1990
14420,28600,54600,85800,364000,1990
14454,39000,75400,140400,364000,1990
14500,39000,70200,119600,364000,1990
14540,15600,44200,75400,364000,1990
14580,23400,49400,80600,364000,1990
14620,23400,49400,75400,364000,1990
14660,23400,44200,75400,364000,1990
14700,23400,44200,70200,364000,1990
14720,44200,70200,109200,364000,1990
14740,39000,65000,101400,364000,1990
14780,23400,49400,80600,364000,1990
14820,28600,49400,85800,364000,1990
14860,54600,101400,182000,364000,1990
15020,15600,39000,70200,364000,1990
15060,23400,44200,75400,364000,1990
15100,23400,44200,75400,364000,1990
15140,15600,33800,65000,364000,1990
15180,15600,33800,65000,364000,1990
15220,15600,39000,70200,364000,1990
15260,28600,54600,91000,364000,1990
15340,28600,49400,80600,364000,1990
15380,28600,59800,96200,364000,1990
15420,28600,49400,75400,364000,1990
15460,28600,54600,85800,364000,1990
15500,28600,54600,91000,364000,1990
15540,39000,70200,109200,364000,1990
15580,23400,44200,75400,364000,1990
15620,23400,44200,75400,364000,1990
15660,28600,54600,85800,364000,1990
15680,44200,75400,119600,364000,1990
15700,23400,49400,80600,364000,1990
15740,23400,44200,70200,364000,1990
15764,44200,85800,140400,364000,1990
15780,15600,44200,75400,364000,1990
15804,44200,80600,119600,364000,1990
15820,15600,44200,70200,364000,1990
15860,23400,39000,70200,364000,1990
15900,23400,44200,75400,364000,1990
15940,28600,59800,91000,364000,1990
15980,33800,59800,91000,364000,1990
16020,23400,44200,80600,364000,1990
16060,15600,39000,75400,364000,1990
16100,23400,49400,80600,364000,1990
16140,23400,49400,75400,364000,1990
16180,33800,65000,101400,364000,1990
16220,28600,59800,91000,364000,1990
16260,28600,49400,80600,364000,1990
16300,33800,65000,96200,364000,1990
16340,23400,44200,75400,364000,1990
16380,33800,59800,91000,364000,1990
16420,15600,39000,70200,364000,1990
16460,23400,49400,80600,364000,1990
16500,23400,49400,85800,364000,1990
16540,33800,59800,91000,364000,1990
16580,28600,54600,91000,364000,1990
16620,23400,49400,85800,364000,1990
16660,23400,49400,85800,364000,1990
16700,33800,59800,91000,364000,1990
16740,33800,65000,101400,364000,1990
16820,33800,59800,101400,364000,1990
16860,28600,54600,85800,364000,1990
16940,33800,54600,91000,364000,1990
16974,39000,75400,119600,364000,1990
17020,23400,49400,80600,364000,1990
17060,23400,49400,85800,364000,1990
17140,33800,65000,101400,364000,1990
17200,33800,59800,96200,364000,1990
17220,15600,39000,70200,364000,1990
17260,5200,28600,59800,364000,1990
17300,28600,49400,75400,364000,1990
17340,23400,44200,80600,364000,1990
17380,15600,28600,59800,364000,1990
17420,23400,49400,85800,364000,1990
17460,33800,65000,101400,364000,1990
17500,28600,49400,80600,364000,1990
17540,28600,54600,85800,364000,1990
17580,23400,44200,75400,364000,1990
17660,28600,54600,85800,364000,1990
17700,23400,44200,75400,364000,1990
17740,28600,54600,80600,364000,1990
17780,15600,39000,80600,364000,1990
17820,33800,59800,96200,364000,1990
17860,28600,54600,91000,364000,1990
17900,33800,59800,96200,364000,1990
17980,23400,49400,85800,364000,1990
18020,33800,65000,96200,364000,1990
18060,23400,49400,80600,364000,1990
18100,33800,54600,85800,364000,1990
18140,33800,65000,101400,364000,1990
18180,44200,75400,109200,364000,1990
18220,28600,54600,85800,364000,1990
18260,23400,44200,70200,364000,1990
18300,23400,44200,75400,364000,1990
18380,15600,33800,70200,364000,1990
18420,15600,39000,70200,364000,1990
18460,28600,49400,80600,364000,1990
18500,28600,54600,85800,364000,1990
18580,23400,49400,85800,364000,1990
18620,23400,44200,80600,364000,1990
18660,28600,54600,85800,364000,1990
18700,28600,54600,96200,364000,1990
18740,23400,49400,80600,364000,1990
18780,28600,59800,91000,364000,1990
18820,33800,59800,85800,364000,1990
18860,23400,49400,80600,364000,1990
18880,33800,54600,85800,364000,1990
18900,23400,44200,65000,364000,1990
18980,23400,44200,75400,364000,1990
19000,23400,44200,75400,364000,1990
19060,23400,44200,75400,364000,1990
19124,39000,70200,109200,364000,1990
19140,33800,54600,85800,364000,1990
19180,23400,49400,85800,364000,1990
19220,15600,44200,75400,364000,1990
19260,23400,49400,80600,364000,1990
19300,28600,54600,91000,364000,1990
19340,28600,59800,96200,364000,1990
19380,33800,65000,101400,364000,1990
19420,15600,39000,70200,364000,1990
19460,28600,54600,91000,364000,1990
19500,28600,59800,96200,364000,1990
19540,33800,59800,85800,364000,1990
19580,33800,65000,96200,364000,1990
19620,15600,39000,70200,364000,1990
19660,28600,54600,85800,364000,1990
19700,15600,28600,54600,364000,1990
19740,39000,70200,109200,364000,1990
19760,23400,44200,80600,364000,1990
19780,33800,65000,101400,364000,1990
19804,23400,59800,101400,364000,1990
19860,23400,44200,75400,364000,1990
19940,33800,59800,85800,364000,1990
19980,28600,49400,85800,364000,1990
20020,23400,49400,80600,364000,1990
20060,15600,44200,75400,364000,1990
20100,33800,59800,96200,364000,1990
20140,15600,44200,75400,364000,1990
20180,23400,44200,75400,364000,1990
20220,33800,59800,91000,364000,1990
20260,23400,49400,80600,364000,1990
20300,33800,54600,85800,364000,1990
20340,15600,44200,75400,364000,1990
20380,23400,44200,75400,364000,1990
20420,28600,54600,85800,364000,1990
20460,15600,33800,65000,364000,1990
20500,33800,59800,101400,364000,1990
20524,54600,96200,140400,364000,1990
20540,23400,44200,80600,364000,1990
20580,15600,23400,44200,364000,1990
20660,33800,65000,109200,364000,1990
20700,39000,65000,101400,364000,1990
20740,28600,54600,85800,364000,1990
20780,49400,75400,109200,364000,1990
20820,28600,54600,85800,364000,1990
20900,23400,49400,80600,364000,1990
20940,23400,44200,80600,364000,1990
20980,15600,44200,75400,364000,1990
20994,44200,80600,119600,364000,1990
21020,23400,44200,75400,364000,1990
21060,28600,49400,80600,364000,1990
21120,15600,39000,70200,364000,1990
21140,39000,65000,96200,364000,1990
21180,15600,39000,65000,364000,1990
21220,39000,70200,109200,364000,1990
21260,15600,44200,75400,364000,1990
21300,28600,54600,85800,364000,1990
21340,23400,49400,80600,364000,1990
21380,23400,49400,80600,364000,1990
21420,23400,49400,75400,364000,1990
21460,23400,49400,85800,364000,1990
21500,28600,54600,85800,364000,1990
21540,23400,49400,80600,364000,1990
21580,15600,39000,70200,364000,1990
21640,15600,39000,70200,364000,1990
21660,28600,54600,85800,364000,1990
21700,23400,49400,85800,364000,1990
21740,39000,70200,96200,364000,1990
21780,28600,54600,91000,364000,1990
21820,44200,75400,140400,364000,1990
21840,23400,44200,75400,364000,1990
21860,28600,49400,75400,364000,1990
21900,15600,44200,75400,364000,1990
21980,33800,59800,91000,364000,1990
22020,28600,54600,85800,364000,1990
22060,33800,59800,96200,364000,1990
22100,23400,44200,70200,364000,1990
22140,15600,44200,80600,364000,1990
22180,28600,54600,85800,364000,1990
22220,28600,49400,80600,364000,1990
22260,23400,44200,75400,364000,1990
22280,28600,49400,85800,364000,1990
22300,39000,65000,101400,364000,1990
22340,15600,39000,70200,364000,1990
22380,23400,54600,91000,364000,1990
22420,28600,65000,109200,364000,1990
22500,23400,49400,85800,364000,1990
22520,23400,49400,85800,364000,1990
22540,33800,59800,91000,364000,1990
22580,23400,49400,75400,364000,1990
22620,15600,28600,59800,364000,1990
22660,33800,59800,101400,364000,1990
22700,28600,49400,75400,364000,1990
22744,33800,65000,109200,364000,1990
22780,28600,44200,65000,364000,1990
22800,23400,49400,80600,364000,1990
22820,23400,44200,75400,364000,1990
22840,15600,39000,70200,364000,1990
22860,23400,39000,65000,364000,1990
22900,23400,44200,75400,364000,1990
23060,39000,65000,101400,364000,1990
23104,39000,65000,109200,364000,1990
23140,28600,54600,85800,364000,1990
23180,33800,54600,91000,364000,1990
23240,23400,49400,75400,364000,1990
23300,33800,59800,91000,364000,1990
23340,28600,49400,75400,364000,1990
23380,33800,59800,91000,364000,1990
23420,28600,54600,91000,364000,1990
23460,23400,44200,80600,364000,1990
23500,23400,49400,80600,364000,1990
23540,23400,44200,85800,364000,1990
23580,33800,59800,96200,364000,1990
23620,23400,49400,85800,364000,1990
23660,23400,49400,80600,364000,1990
23700,15600,33800,65000,364000,1990
23780,33800,59800,85800,364000,1990
23820,44200,70200,109200,364000,1990
23844,33800,65000,101400,364000,1990
23860,23400,49400,85800,364000,1990
23900,39000,65000,91000,364000,1990
23940,44200,75400,109200,364000,1990
23980,15600,39000,65000,364000,1990
24020,33800,59800,96200,364000,1990
24060,39000,65000,101400,364000,1990
24100,23400,49400,80600,364000,1990
24140,23400,49400,75400,364000,1990
24220,28600,49400,80600,364000,1990
24260,28600,49400,80600,364000,1990
24300,28600,49400,80600,364000,1990
24330,23400,44200,80600,364000,1990
24340,39000,70200,101400,364000,1990
24380,15600,33800,59800,364000,1990
24420,23400,44200,70200,364000,1990
24460,28600,49400,75400,364000,1990
24500,28600,49400,80600,364000,1990
24540,28600,54600,85800,364000,1990
24580,33800,65000,96200,364000,1990
24620,23400,44200,75400,364000,1990
24640,33800,65000,96200,364000,1990
24660,33800,59800,96200,364000,1990
24700,33800,54600,91000,364000,1990
24740,15600,33800,70200,364000,1990
24780,23400,49400,85800,364000,1990
24820,33800,54600,85800,364000,1990
24860,28600,54600,91000,364000,1990
24900,15600,33800,65000,364000,1990
24940,23400,49400,80600,364000,1990
24980,15600,39000,70200,364000,1990
25060,23400,49400,80600,364000,1990
25100,23400,49400,80600,364000,1990
25180,33800,59800,91000,364000,1990
25200,33800,59800,96200,364000,1990
25220,15600,33800,65000,364000,1990
25260,28600,54600,85800,364000,1990
25300,23400,44200,70200,364000,1990
25420,39000,65000,101400,364000,1990
25460,15600,39000,65000,364000,1990
25500,33800,59800,91000,364000,1990
25540,49400,85800,140400,364000,1990
25580,28600,49400,80600,364000,1990
25620,15600,39000,75400,364000,1990
25700,23400,44200,80600,364000,1990
25720,28600,54600,85800,364000,1990
25740,28600,54600,85800,364000,1990
25760,15600,28600,49400,364000,1990
25780,23400,44200,75400,364000,1990
25820,23400,44200,75400,364000,1990
