metdiv,Year,inc_1,inc_2,inc_3,inc_4
10100,1990,23400,44200,75400,364000
10140,1990,23400,49400,80600,364000
10180,1990,23400,49400,80600,364000
10220,1990,15600,33800,70200,364000
10260,1990,NA,NA,NA,NA
10300,1990,33800,65000,96200,364000
10380,1990,NA,NA,NA,NA
10420,1990,33800,59800,96200,364000
10460,1990,28600,49400,75400,364000
10500,1990,23400,49400,85800,364000
10540,1990,28600,54600,80600,364000
10580,1990,39000,70200,109200,364000
10620,1990,28600,54600,80600,364000
10660,1990,28600,49400,75400,364000
10700,1990,23400,44200,75400,364000
10740,1990,28600,54600,91000,364000
10760,1990,23400,44200,75400,364000
10780,1990,15600,44200,75400,364000
10820,1990,23400,44200,75400,364000
10860,1990,15600,39000,65000,364000
10900,1990,39000,70200,109200,364000
10940,1990,28600,49400,85800,364000
10980,1990,23400,44200,75400,364000
11020,1990,23400,49400,75400,364000
11060,1990,23400,44200,75400,364000
11100,1990,28600,54600,85800,364000
11140,1990,15600,44200,75400,364000
11180,1990,28600,54600,91000,364000
11220,1990,28600,49400,80600,364000
11244,1990,54600,96200,140400,364000
11260,1990,49400,91000,140400,364000
11380,1990,28600,54600,85800,364000
11420,1990,33800,59800,91000,364000
11460,1990,39000,75400,119600,364000
11500,1990,23400,49400,75400,364000
11540,1990,39000,70200,101400,364000
11580,1990,23400,44200,70200,364000
11620,1990,15600,44200,75400,364000
11640,1990,NA,NA,NA,NA
11660,1990,15600,39000,65000,364000
11680,1990,28600,49400,85800,364000
11700,1990,28600,54600,85800,364000
11740,1990,28600,54600,85800,364000
11780,1990,23400,49400,80600,364000
11820,1990,23400,49400,85800,364000
11860,1990,23400,44200,70200,364000
11900,1990,15600,39000,70200,364000
11940,1990,15600,44200,75400,364000
11980,1990,23400,44200,75400,364000
12020,1990,23400,49400,85800,364000
12060,1990,39000,75400,119600,364000
12100,1990,39000,70200,109200,364000
12120,1990,15600,39000,65000,364000
12140,1990,39000,65000,91000,364000
12180,1990,28600,54600,91000,364000
12220,1990,15600,44200,85800,364000
12260,1990,28600,54600,96200,364000
12300,1990,33800,59800,91000,364000
12380,1990,28600,49400,80600,364000
12420,1990,28600,59800,96200,364000
12460,1990,15600,44200,70200,364000
12540,1990,28600,59800,96200,364000
12580,1990,39000,75400,119600,364000
12620,1990,28600,54600,85800,364000
12660,1990,28600,54600,85800,364000
12680,1990,23400,49400,80600,364000
12700,1990,33800,65000,109200,364000
12740,1990,33800,59800,96200,364000
12780,1990,33800,59800,101400,364000
12820,1990,15600,33800,70200,364000
12860,1990,33800,65000,96200,364000
12900,1990,15600,39000,70200,364000
12940,1990,23400,54600,91000,364000
12980,1990,28600,54600,91000,364000
13020,1990,28600,59800,96200,364000
13060,1990,23400,54600,91000,364000
13100,1990,23400,49400,75400,364000
13140,1990,23400,54600,91000,364000
13180,1990,33800,59800,91000,364000
13220,1990,15600,39000,70200,364000
13260,1990,28600,54600,85800,364000
13300,1990,15600,44200,70200,364000
13340,1990,28600,54600,85800,364000
13380,1990,33800,59800,96200,364000
13420,1990,15600,44200,70200,364000
13460,1990,33800,54600,85800,364000
13500,1990,15600,39000,65000,364000
13540,1990,28600,59800,96200,364000
13620,1990,28600,54600,85800,364000
13660,1990,23400,44200,75400,364000
13700,1990,23400,49400,80600,364000
13720,1990,15600,39000,70200,364000
13740,1990,28600,54600,85800,364000
13780,1990,33800,59800,96200,364000
13820,1990,23400,54600,91000,364000
13900,1990,28600,54600,91000,364000
13940,1990,28600,49400,80600,364000
13980,1990,23400,49400,80600,364000
14010,1990,33800,65000,101400,364000
14020,1990,23400,49400,85800,364000
14100,1990,28600,49400,80600,364000
14140,1990,15600,39000,70200,364000
14180,1990,15600,39000,65000,364000
14220,1990,15600,33800,65000,364000
14260,1990,33800,54600,91000,364000
14300,1990,15600,44200,75400,364000
14340,1990,28600,54600,85800,364000
14380,1990,15600,44200,75400,364000
14420,1990,28600,54600,85800,364000
14454,1990,39000,75400,140400,364000
14500,1990,39000,70200,119600,364000
14540,1990,15600,44200,75400,364000
14580,1990,23400,49400,80600,364000
14620,1990,23400,49400,75400,364000
14660,1990,23400,44200,75400,364000
14700,1990,23400,44200,70200,364000
14720,1990,44200,70200,109200,364000
14740,1990,39000,65000,101400,364000
14780,1990,23400,49400,80600,364000
14820,1990,28600,49400,85800,364000
14860,1990,54600,101400,182000,364000
15020,1990,15600,39000,70200,364000
15060,1990,23400,44200,75400,364000
15100,1990,23400,44200,75400,364000
15140,1990,15600,33800,65000,364000
15180,1990,15600,33800,65000,364000
15220,1990,15600,39000,70200,364000
15260,1990,28600,54600,91000,364000
15340,1990,28600,49400,80600,364000
15380,1990,28600,59800,96200,364000
15420,1990,28600,49400,75400,364000
15460,1990,28600,54600,85800,364000
15500,1990,28600,54600,91000,364000
15540,1990,39000,70200,109200,364000
15580,1990,23400,44200,75400,364000
15620,1990,23400,44200,75400,364000
15660,1990,28600,54600,85800,364000
15680,1990,44200,75400,119600,364000
15700,1990,23400,49400,80600,364000
15740,1990,23400,44200,70200,364000
15764,1990,44200,85800,140400,364000
15780,1990,15600,44200,75400,364000
15804,1990,44200,80600,119600,364000
15820,1990,15600,44200,70200,364000
15860,1990,23400,39000,70200,364000
15900,1990,23400,44200,75400,364000
15940,1990,28600,59800,91000,364000
15980,1990,33800,59800,91000,364000
16020,1990,23400,44200,80600,364000
16060,1990,15600,39000,75400,364000
16100,1990,23400,49400,80600,364000
16140,1990,23400,49400,75400,364000
16180,1990,33800,65000,101400,364000
16220,1990,28600,59800,91000,364000
16260,1990,28600,49400,80600,364000
16300,1990,33800,65000,96200,364000
16340,1990,23400,44200,75400,364000
16380,1990,33800,59800,91000,364000
16420,1990,15600,39000,70200,364000
16460,1990,23400,49400,80600,364000
16500,1990,23400,49400,85800,364000
16540,1990,33800,59800,91000,364000
16580,1990,28600,54600,91000,364000
16620,1990,23400,49400,85800,364000
16660,1990,23400,49400,85800,364000
16700,1990,33800,59800,91000,364000
16740,1990,33800,65000,101400,364000
16820,1990,33800,59800,101400,364000
16860,1990,28600,54600,85800,364000
16940,1990,33800,54600,91000,364000
